DATE,DEXSZUS
2014-07-21,0.8980
2014-07-22,0.9022
2014-07-23,0.9024
2014-07-24,0.9024
2014-07-25,0.9045
2014-07-28,0.9037
2014-07-29,0.9068
2014-07-30,0.9096
2014-07-31,0.9086
2014-08-01,0.9048
2014-08-04,0.9068
2014-08-05,0.9102
2014-08-06,0.9095
2014-08-07,0.9086
2014-08-08,0.9050
2014-08-11,0.9063
2014-08-12,0.9082
2014-08-13,0.9079
2014-08-14,0.9056
2014-08-15,0.9026
2014-08-18,0.9066
2014-08-19,0.9089
2014-08-20,0.9116
2014-08-21,0.9112
2014-08-22,0.9142
2014-08-25,0.9144
2014-08-26,0.9167
2014-08-27,0.9148
2014-08-28,0.9150
2014-08-29,0.9174
2014-09-01,.
2014-09-02,0.9196
2014-09-03,0.9186
2014-09-04,0.9327
2014-09-05,0.9306
2014-09-08,0.9317
2014-09-09,0.9348
2014-09-10,0.9382
2014-09-11,0.9349
2014-09-12,0.9337
2014-09-15,0.9344
2014-09-16,0.9314
2014-09-17,0.9346
2014-09-18,0.9344
2014-09-19,0.9404
2014-09-22,0.9410
2014-09-23,0.9386
2014-09-24,0.9446
2014-09-25,0.9467
2014-09-26,0.9513
2014-09-29,0.9498
2014-09-30,0.9554
2014-10-01,0.9566
2014-10-02,0.9532
2014-10-03,0.9670
2014-10-06,0.9626
2014-10-07,0.9606
2014-10-08,0.9564
2014-10-09,0.9545
2014-10-10,0.9568
2014-10-13,.
2014-10-14,0.9536
2014-10-15,0.9444
2014-10-16,0.9425
2014-10-17,0.9468
2014-10-20,0.9438
2014-10-21,0.9482
2014-10-22,0.9530
2014-10-23,0.9535
2014-10-24,0.9514
2014-10-27,0.9484
2014-10-28,0.9463
2014-10-29,0.9452
2014-10-30,0.9552
2014-10-31,0.9623
2014-11-03,0.9655
2014-11-04,0.9596
2014-11-05,0.9640
2014-11-06,0.9702
2014-11-07,0.9684
2014-11-10,0.9678
2014-11-11,.
2014-11-12,0.9650
2014-11-13,0.9634
2014-11-14,0.9616
2014-11-17,0.9653
2014-11-18,0.9583
2014-11-19,0.9572
2014-11-20,0.9596
2014-11-21,0.9696
2014-11-24,0.9676
2014-11-25,0.9645
2014-11-26,0.9614
2014-11-27,.
2014-11-28,0.9658
2014-12-01,0.9631
2014-12-02,0.9720
2014-12-03,0.9779
2014-12-04,0.9674
2014-12-05,0.9772
2014-12-08,0.9778
2014-12-09,0.9680
2014-12-10,0.9680
2014-12-11,0.9688
2014-12-12,0.9620
2014-12-15,0.9632
2014-12-16,0.9604
2014-12-17,0.9679
2014-12-18,0.9794
2014-12-19,0.9832
2014-12-22,0.9820
2014-12-23,0.9872
2014-12-24,0.9865
